	sid	labeling	concentration	buffer	ph	purity	produced_by	production_date	comment	ligand
0				natriumhydrogencarbonat	8.5					Empty
1	Buffer01									Buffer001
2	L001		0.1	natriumhydrogencarbonat	8.5			2017-05-09		P012
3	L002		1	natriumhydrogencarbonat	8.5					P001
4	L003		1	natriumhydrogencarbonat	8.5					P008
5	L004		1	natriumhydrogencarbonat	8.5					P009
6	L005		1	natriumhydrogencarbonat	8.5					P010
7	L006		1	natriumhydrogencarbonat	8.5					P011
8	L007		0.07	natriumhydrogencarbonat	8.5					P013
9	P1									P1
10	P3									P3
11	P4									P4
12	P5									P5
13	P6									P6
14	P7									P7
15	P8									P8
16	P10									P10
17	P13									P13
18	DYE025		0.25							Dye001
19	DYE050		0.5							Dye001
20	DYE100		1							Dye001
21	NEN025		0.25							P013
22	NEN050		0.5							P013
23	NEN100		1							P013
24	FEU025		0.25							P012
25	FEU050		0.5							P012
26	FEU100		1							P012
27	KLOS025		0.25							P030
28	KLOS050		0.5							P030
29	KLOS100		1							P030
30	KLOA025		0.25							P031
31	KLOA050		0.5							P031
32	KLOA100		1							P031
33	P6025		0.25							P001
34	P6050		0.5							P001
35	P6100		1							P001
36	P7025		0.25							P008
37	P7050		0.5							P008
38	P7100		1							P008
39	P8025		0.25							P009
40	P8050		0.5							P009
41	P8100		1							P008
42	P9025		0.25							P010
43	P9050		0.5							P010
44	P9100		1							P010
45	P10025		0.25							P014
46	P10050		0.5							P014
47	P10100		1							P014
48	P11025		0.25							P011
49	P11050		0.5							P011
50	P11100		1							P011
51	P12025		0.25							P015
52	P12050		0.5							P015
53	P12100		1							P015
54	P13025		0.25							P016
55	P13050		0.5							P016
56	P13100		1							P016
57	P14025		0.25							P017
58	P14050		0.5							P017
59	P14100		1							P017
60	P16025		0.25							P019
61	P16050		0.5							P019
62	P16100		1							P019
63	Buffer									Buffer001
64	P032-1:50		50	natriumhydrogencarbonat	8.5					P032
65	P012-2		2	natriumhydrogencarbonat	8.5					P012
66	P012-1		1	natriumhydrogencarbonat	8.5					P012
67	P012-05		0.5	natriumhydrogencarbonat	8.5					P012
68	P012-025		0.25	natriumhydrogencarbonat	8.5					P012
69	P012-0125		0.125	natriumhydrogencarbonat	8.5					P012
70	P012-00625		0.0625	natriumhydrogencarbonat	8.5					P012
71	P012-00313		0.0313	natriumhydrogencarbonat	8.5					P012
72	P012-00156		0.0156	natriumhydrogencarbonat	8.5					P012
73	P019-2		2	natriumhydrogencarbonat	8.5					P019
74	P019-1		1	natriumhydrogencarbonat	8.5					P019
75	P019-05		0.5	natriumhydrogencarbonat	8.5					P019
76	P019-025		0.25	natriumhydrogencarbonat	8.5					P019
77	P019-0125		0.125	natriumhydrogencarbonat	8.5					P019
78	P019-00625		0.0625	natriumhydrogencarbonat	8.5					P019
79	P019-00313		0.0313	natriumhydrogencarbonat	8.5					P019
80	P019-00156		0.0156	natriumhydrogencarbonat	8.5					P019
81	P011-2		2	natriumhydrogencarbonat	8.5					P011
82	P011-1		1	natriumhydrogencarbonat	8.5					P011
83	P011-05		0.5	natriumhydrogencarbonat	8.5					P011
84	P011-025		0.25	natriumhydrogencarbonat	8.5					P011
85	P011-0125		0.125	natriumhydrogencarbonat	8.5					P011
86	P011-00625		0.0625	natriumhydrogencarbonat	8.5					P011
