ID	Block	Row	Column	Name	row_factor	column_factor
0	1	1	1	NO	0	0
1	1	2	1	0.5_pep60	0	0
2	1	3	1	0.5_pep43	0	0
3	1	4	1	0.25_Christian	0	0
4	1	5	1	1.0_pep37	0	0
5	1	6	1	0.5_pep41	0	0
6	1	7	1	0.5_pep45	0	0
7	1	8	1	KLOA025	0	0
8	1	9	1	NO	0	0
9	1	10	1	0.5_pep50	0	0
10	1	11	1	0.5_pep16	0	0
11	1	12	1	1.0_pep13	0	0
12	1	13	1	0.25_pep10	0	0
13	1	14	1	0.5_pep52	0	0
14	1	15	1	0.25_pep7	0	0
15	1	16	1	0.5_pep40	0	0
16	1	1	2	Ach1	0	0
17	1	2	2	1.0_pep39	0	0
18	1	3	2	1.0_pep47	0	0
19	1	4	2	0.25_pep41	0	0
20	1	5	2	1.0_pep44	0	0
21	1	6	2	NEN025	0	0
22	1	7	2	1.0_Ak_28666	0	0
23	1	8	2	1.0_pep48	0	0
24	1	9	2	1.0_pep49	0	0
25	1	10	2	NEN050	0	0
26	1	11	2	0.5_pep12	0	0
27	1	12	2	0.25_pep63	0	0
28	1	13	2	1.0_pep52	0	0
29	1	14	2	1.0_pep50	0	0
30	1	15	2	Pan3	0	0
31	1	16	2	NO	0	0
32	1	1	3	0.5_pep10	0	0
33	1	2	3	0.25_pep50	0	0
34	1	3	3	0.25_pep49	0	0
35	1	4	3	0.5_pep57	0	0
36	1	5	3	1.0_pep55	0	0
37	1	6	3	Wasser	0	0
38	1	7	3	1.0_pep14	0	0
39	1	8	3	1.0_pep56	0	0
40	1	9	3	Pan3	0	0
41	1	10	3	1.0_Christian	0	0
42	1	11	3	NO	0	0
43	1	12	3	Ach1	0	0
44	1	13	3	0.25_pep40	0	0
45	1	14	3	0.25_pep11	0	0
46	1	15	3	0.25_pep52	0	0
47	1	16	3	Cal2	0	0
48	1	1	4	NO	0	0
49	1	2	4	0.5_pep61	0	0
50	1	3	4	0.5_pep13	0	0
51	1	4	4	Puffer	0	0
52	1	5	4	0.25_pep48	0	0
53	1	6	4	1.0_pep8	0	0
54	1	7	4	NO	0	0
55	1	8	4	0.5_pep44	0	0
56	1	9	4	Ach1	0	0
57	1	10	4	1.0_pep7	0	0
58	1	11	4	0.5_AK_28667	0	0
59	1	12	4	0.25_pep44	0	0
60	1	13	4	1.0_pep45	0	0
61	1	14	4	1.0_pep43	0	0
62	1	15	4	Cal2	0	0
63	1	16	4	0.5_pep9	0	0
64	1	1	5	1.0_pep12	0	0
65	1	2	5	0.25_pep46	0	0
66	1	3	5	0.25_pep54	0	0
67	1	4	5	NO	0	0
68	1	5	5	Puffer	0	0
69	1	6	5	DYE050	0	0
70	1	7	5	0.25_pep60	0	0
71	1	8	5	Cal2	0	0
72	1	9	5	Puffer	0	0
73	1	10	5	1.0_pep59	0	0
74	1	11	5	0.25_pep39	0	0
75	1	12	5	P012-025	0	0
76	1	13	5	Puffer	0	0
77	1	14	5	1.0_pep61	0	0
78	1	15	5	1.0_pep58	0	0
79	1	16	5	Puffer	0	0
80	1	1	6	0.5_pep14	0	0
81	1	2	6	DYE100	0	0
82	1	3	6	1.0_pep57	0	0
83	1	4	6	0.5_pep6	0	0
84	1	5	6	NO	0	0
85	1	6	6	KLOA025	0	0
86	1	7	6	1.0_AK_28665	0	0
87	1	8	6	0.5_pep37	0	0
88	1	9	6	0.5_pep49	0	0
89	1	10	6	Wasser	0	0
90	1	11	6	0.5_Ak_28666	0	0
91	1	12	6	0.5_pep47	0	0
92	1	13	6	0.5_pep58	0	0
93	1	14	6	0.25_AK_28665	0	0
94	1	15	6	1.0_pep54	0	0
95	1	16	6	Puffer	0	0
96	1	1	7	1.0_pep9	0	0
97	1	2	7	0.25_pep45	0	0
98	1	3	7	DYE025	0	0
99	1	4	7	0.25_pep61	0	0
100	1	5	7	0.5_pep8	0	0
101	1	6	7	0.25_pep59	0	0
102	1	7	7	0.25_pep37	0	0
103	1	8	7	Wasser	0	0
104	1	9	7	NO	0	0
105	1	10	7	0.5_pep63	0	0
106	1	11	7	0.25_pep56	0	0
107	1	12	7	0.25_pep57	0	0
108	1	13	7	NO	0	0
109	1	14	7	P012-05	0	0
110	1	15	7	0.25_pep8	0	0
111	1	16	7	0.5_pep54	0	0
112	1	1	8	0.25_pep43	0	0
113	1	2	8	0.5_AK_28665	0	0
114	1	3	8	0.5_pep46	0	0
115	1	4	8	NO	0	0
116	1	5	8	0.25_pep16	0	0
117	1	6	8	NO	0	0
118	1	7	8	0.5_pep59	0	0
119	1	8	8	P012-1	0	0
120	1	9	8	KLOS025	0	0
121	1	10	8	0.25_pep58	0	0
122	1	11	8	0.25_pep55	0	0
123	1	12	8	1.0_pep10	0	0
124	1	13	8	0.5_pep39	0	0
125	1	14	8	1.0_pep63	0	0
126	1	15	8	1.0_pep41	0	0
127	1	16	8	0.25_pep13	0	0
128	1	1	9	1.0_pep60	0	0
129	1	2	9	1.0_pep16	0	0
130	1	3	9	0.25_Ak_28666	0	0
131	1	4	9	1.0_pep11	0	0
132	1	5	9	Puffer	0	0
133	1	6	9	1.0_pep46	0	0
134	1	7	9	1.0_AK_28667	0	0
135	1	8	9	NO	0	0
136	1	9	9	1.0_pep6	0	0
137	1	10	9	Puffer	0	0
138	1	11	9	0.5_pep11	0	0
139	1	12	9	0.5_pep7	0	0
